code,state,value,year,month
USA,United States of America,-3.13,1901,1
USA.2593214,Alabama,8.11,1901,1
USA.2593215,Alaska,-20.36,1901,1
USA.2593216,Arizona,5.28,1901,1
USA.2593217,Arkansas,7.25,1901,1
USA.2593218,California,5.59,1901,1
USA.2593219,Colorado,-4.36,1901,1
USA.2593220,Connecticut,-4.0,1901,1
USA.2593221,Delaware,1.01,1901,1
USA.2593222,District of Columbia,1.26,1901,1
USA.2593223,Florida,14.11,1901,1
USA.2593224,Georgia,8.17,1901,1
USA.2593225,Hawaii,18.12,1901,1
USA.2593226,Idaho,-4.59,1901,1
USA.2593227,Illinois,-1.43,1901,1
USA.2593228,Indiana,-1.43,1901,1
USA.2593229,Iowa,-5.28,1901,1
USA.2593230,Kansas,-0.43,1901,1
USA.2593231,Kentucky,2.07,1901,1
USA.2593232,Louisiana,11.3,1901,1
USA.2593233,Maine,-11.36,1901,1
USA.2593234,Maryland,0.41,1901,1
USA.2593235,Massachusetts,-4.96,1901,1
USA.2593236,Michigan,-6.76,1901,1
USA.2593237,Minnesota,-12.61,1901,1
USA.2593238,Mississippi,9.0,1901,1
USA.2593239,Missouri,1.32,1901,1
USA.2593240,Montana,-7.45,1901,1
USA.2593241,Nebraska,-3.42,1901,1
USA.2593242,Nevada,-0.04,1901,1
USA.2593243,New Hampshire,-8.75,1901,1
USA.2593244,New Jersey,-1.03,1901,1
USA.2593245,New Mexico,2.47,1901,1
USA.2593246,New York,-6.35,1901,1
USA.2593247,North Carolina,4.79,1901,1
USA.2593248,North Dakota,-13.73,1901,1
USA.2593249,Ohio,-1.91,1901,1
USA.2593250,Oklahoma,4.65,1901,1
USA.2593251,Oregon,-0.87,1901,1
USA.2593252,Pennsylvania,-2.79,1901,1
USA.2593253,Rhode Island,-3.29,1901,1
USA.2593254,South Carolina,7.09,1901,1
USA.2593255,South Dakota,-6.18,1901,1
USA.2593256,Tennessee,3.87,1901,1
USA.2593257,Texas,9.94,1901,1
USA.2593258,Utah,-3.08,1901,1
USA.2593259,Vermont,-9.37,1901,1
USA.2593260,Virginia,2.11,1901,1
USA.2593261,Washington,-2.12,1901,1
USA.2593262,West Virginia,-0.42,1901,1
USA.2593263,Wisconsin,-9.21,1901,1
USA.2593264,Wyoming,-5.82,1901,1
USA,United States of America,-4.11,1901,2
USA.2593214,Alabama,6.5,1901,2
USA.2593215,Alaska,-20.19,1901,2
USA.2593216,Arizona,7.06,1901,2
USA.2593217,Arkansas,4.7,1901,2
USA.2593218,California,7.41,1901,2
USA.2593219,Colorado,-4.96,1901,2
USA.2593220,Connecticut,-6.88,1901,2
USA.2593221,Delaware,-1.93,1901,2
USA.2593222,District of Columbia,-1.37,1901,2
USA.2593223,Florida,13.06,1901,2
USA.2593224,Georgia,6.94,1901,2
USA.2593225,Hawaii,16.4,1901,2
USA.2593226,Idaho,-4.25,1901,2
USA.2593227,Illinois,-5.62,1901,2
USA.2593228,Indiana,-5.26,1901,2
USA.2593229,Iowa,-8.58,1901,2
USA.2593230,Kansas,-2.61,1901,2
USA.2593231,Kentucky,-0.44,1901,2
USA.2593232,Louisiana,9.58,1901,2
USA.2593233,Maine,-11.66,1901,2
USA.2593234,Maryland,-2.54,1901,2
USA.2593235,Massachusetts,-7.5,1901,2
USA.2593236,Michigan,-10.69,1901,2
USA.2593237,Minnesota,-13.8,1901,2
USA.2593238,Mississippi,7.2,1901,2
USA.2593239,Missouri,-2.06,1901,2
USA.2593240,Montana,-8.14,1901,2
USA.2593241,Nebraska,-6.39,1901,2
USA.2593242,Nevada,0.6,1901,2
USA.2593243,New Hampshire,-10.58,1901,2
USA.2593244,New Jersey,-4.3,1901,2
USA.2593245,New Mexico,2.96,1901,2
USA.2593246,New York,-10.07,1901,2
USA.2593247,North Carolina,3.13,1901,2
USA.2593248,North Dakota,-14.16,1901,2
USA.2593249,Ohio,-6.33,1901,2
USA.2593250,Oklahoma,2.8,1901,2
USA.2593251,Oregon,0.32,1901,2
USA.2593252,Pennsylvania,-7.02,1901,2
USA.2593253,Rhode Island,-6.01,1901,2
USA.2593254,South Carolina,6.12,1901,2
USA.2593255,South Dakota,-9.05,1901,2
USA.2593256,Tennessee,2.07,1901,2
USA.2593257,Texas,7.91,1901,2
USA.2593258,Utah,-1.06,1901,2
USA.2593259,Vermont,-11.53,1901,2
USA.2593260,Virginia,-0.3,1901,2
USA.2593261,Washington,-0.42,1901,2
USA.2593262,West Virginia,-3.8,1901,2
USA.2593263,Wisconsin,-12.31,1901,2
USA.2593264,Wyoming,-7.7,1901,2
USA,United States of America,2.07,1901,3
USA.2593214,Alabama,11.88,1901,3
USA.2593215,Alaska,-12.91,1901,3
USA.2593216,Arizona,8.87,1901,3
USA.2593217,Arkansas,10.54,1901,3
USA.2593218,California,9.7,1901,3
USA.2593219,Colorado,-0.59,1901,3
USA.2593220,Connecticut,0.43,1901,3
USA.2593221,Delaware,6.34,1901,3
USA.2593222,District of Columbia,7.03,1901,3
USA.2593223,Florida,16.28,1901,3
USA.2593224,Georgia,12.25,1901,3
USA.2593225,Hawaii,18.06,1901,3
USA.2593226,Idaho,0.49,1901,3
USA.2593227,Illinois,3.88,1901,3
USA.2593228,Indiana,4.17,1901,3
USA.2593229,Iowa,0.76,1901,3
USA.2593230,Kansas,4.99,1901,3
USA.2593231,Kentucky,7.56,1901,3
USA.2593232,Louisiana,14.23,1901,3
USA.2593233,Maine,-4.28,1901,3
USA.2593234,Maryland,6.06,1901,3
USA.2593235,Massachusetts,0.0,1901,3
USA.2593236,Michigan,-2.79,1901,3
USA.2593237,Minnesota,-4.11,1901,3
USA.2593238,Mississippi,12.48,1901,3
USA.2593239,Missouri,5.89,1901,3
USA.2593240,Montana,0.23,1901,3
USA.2593241,Nebraska,1.52,1901,3
USA.2593242,Nevada,3.66,1901,3
USA.2593243,New Hampshire,-2.83,1901,3
USA.2593244,New Jersey,3.36,1901,3
USA.2593245,New Mexico,5.43,1901,3
USA.2593246,New York,-1.98,1901,3
USA.2593247,North Carolina,9.72,1901,3
USA.2593248,North Dakota,-3.58,1901,3
USA.2593249,Ohio,3.48,1901,3
USA.2593250,Oklahoma,9.05,1901,3
USA.2593251,Oregon,3.14,1901,3
USA.2593252,Pennsylvania,1.94,1901,3
USA.2593253,Rhode Island,1.07,1901,3
USA.2593254,South Carolina,11.66,1901,3
USA.2593255,South Dakota,-0.19,1901,3
USA.2593256,Tennessee,8.83,1901,3
USA.2593257,Texas,13.48,1901,3
USA.2593258,Utah,1.37,1901,3
USA.2593259,Vermont,-3.81,1901,3
USA.2593260,Virginia,7.42,1901,3
USA.2593261,Washington,3.31,1901,3
USA.2593262,West Virginia,5.11,1901,3
USA.2593263,Wisconsin,-3.43,1901,3
USA.2593264,Wyoming,-1.49,1901,3
USA,United States of America,6.86,1901,4
USA.2593214,Alabama,14.32,1901,4
USA.2593215,Alaska,-8.09,1901,4
USA.2593216,Arizona,12.1,1901,4
USA.2593217,Arkansas,14.38,1901,4
USA.2593218,California,10.64,1901,4
USA.2593219,Colorado,4.79,1901,4
USA.2593220,Connecticut,6.6,1901,4
USA.2593221,Delaware,9.76,1901,4
USA.2593222,District of Columbia,10.07,1901,4
USA.2593223,Florida,18.1,1901,4
USA.2593224,Georgia,14.34,1901,4
USA.2593225,Hawaii,18.45,1901,4
USA.2593226,Idaho,4.08,1901,4
USA.2593227,Illinois,10.0,1901,4
USA.2593228,Indiana,8.97,1901,4
USA.2593229,Iowa,9.38,1901,4
USA.2593230,Kansas,11.14,1901,4
USA.2593231,Kentucky,10.17,1901,4
USA.2593232,Louisiana,16.98,1901,4
USA.2593233,Maine,4.98,1901,4
USA.2593234,Maryland,9.51,1901,4
USA.2593235,Massachusetts,6.08,1901,4
USA.2593236,Michigan,6.78,1901,4
USA.2593237,Minnesota,6.98,1901,4
USA.2593238,Mississippi,15.24,1901,4
USA.2593239,Missouri,11.51,1901,4
USA.2593240,Montana,5.5,1901,4
USA.2593241,Nebraska,8.72,1901,4
USA.2593242,Nevada,6.57,1901,4
USA.2593243,New Hampshire,5.75,1901,4
USA.2593244,New Jersey,8.42,1901,4
USA.2593245,New Mexico,9.79,1901,4
USA.2593246,New York,6.43,1901,4
USA.2593247,North Carolina,11.08,1901,4
USA.2593248,North Dakota,6.79,1901,4
USA.2593249,Ohio,7.94,1901,4
USA.2593250,Oklahoma,13.91,1901,4
USA.2593251,Oregon,4.92,1901,4
USA.2593252,Pennsylvania,7.44,1901,4
USA.2593253,Rhode Island,6.33,1901,4
USA.2593254,South Carolina,13.28,1901,4
USA.2593255,South Dakota,8.53,1901,4
USA.2593256,Tennessee,11.34,1901,4
USA.2593257,Texas,17.27,1901,4
USA.2593258,Utah,6.65,1901,4
USA.2593259,Vermont,6.3,1901,4
USA.2593260,Virginia,9.62,1901,4
USA.2593261,Washington,5.48,1901,4
USA.2593262,West Virginia,7.81,1901,4
USA.2593263,Wisconsin,7.46,1901,4
USA.2593264,Wyoming,4.28,1901,4
USA,United States of America,13.72,1901,5
USA.2593214,Alabama,21.25,1901,5
USA.2593215,Alaska,1.47,1901,5
USA.2593216,Arizona,17.79,1901,5
USA.2593217,Arkansas,19.98,1901,5
USA.2593218,California,14.97,1901,5
USA.2593219,Colorado,11.5,1901,5
USA.2593220,Connecticut,12.23,1901,5
USA.2593221,Delaware,15.9,1901,5
USA.2593222,District of Columbia,16.73,1901,5
USA.2593223,Florida,23.62,1901,5
USA.2593224,Georgia,22.29,1901,5
USA.2593225,Hawaii,19.37,1901,5
USA.2593226,Idaho,12.1,1901,5
USA.2593227,Illinois,16.3,1901,5
USA.2593228,Indiana,15.57,1901,5
USA.2593229,Iowa,15.65,1901,5
USA.2593230,Kansas,17.01,1901,5
USA.2593231,Kentucky,17.33,1901,5
USA.2593232,Louisiana,22.28,1901,5
USA.2593233,Maine,10.37,1901,5
USA.2593234,Maryland,16.0,1901,5
USA.2593235,Massachusetts,12.01,1901,5
USA.2593236,Michigan,11.92,1901,5
USA.2593237,Minnesota,13.78,1901,5
USA.2593238,Mississippi,21.24,1901,5
USA.2593239,Missouri,17.44,1901,5
USA.2593240,Montana,13.85,1901,5
USA.2593241,Nebraska,15.22,1901,5
USA.2593242,Nevada,13.14,1901,5
USA.2593243,New Hampshire,11.18,1901,5
USA.2593244,New Jersey,14.21,1901,5
USA.2593245,New Mexico,15.66,1901,5
USA.2593246,New York,12.26,1901,5
USA.2593247,North Carolina,19.1,1901,5
USA.2593248,North Dakota,15.33,1901,5
USA.2593249,Ohio,14.95,1901,5
USA.2593250,Oklahoma,19.37,1901,5
USA.2593251,Oregon,10.41,1901,5
USA.2593252,Pennsylvania,14.08,1901,5
USA.2593253,Rhode Island,11.91,1901,5
USA.2593254,South Carolina,21.68,1901,5
USA.2593255,South Dakota,15.53,1901,5
USA.2593256,Tennessee,18.27,1901,5
USA.2593257,Texas,22.21,1901,5
USA.2593258,Utah,14.22,1901,5
USA.2593259,Vermont,11.67,1901,5
USA.2593260,Virginia,17.06,1901,5
USA.2593261,Washington,10.87,1901,5
USA.2593262,West Virginia,15.46,1901,5
USA.2593263,Wisconsin,13.18,1901,5
USA.2593264,Wyoming,12.32,1901,5
USA,United States of America,18.26,1901,6
USA.2593214,Alabama,26.17,1901,6
USA.2593215,Alaska,8.32,1901,6
USA.2593216,Arizona,21.32,1901,6
USA.2593217,Arkansas,26.26,1901,6
USA.2593218,California,19.19,1901,6
USA.2593219,Colorado,15.55,1901,6
USA.2593220,Connecticut,19.05,1901,6
USA.2593221,Delaware,21.86,1901,6
USA.2593222,District of Columbia,22.13,1901,6
USA.2593223,Florida,26.2,1901,6
USA.2593224,Georgia,25.68,1901,6
USA.2593225,Hawaii,20.38,1901,6
USA.2593226,Idaho,11.97,1901,6
USA.2593227,Illinois,23.87,1901,6
USA.2593228,Indiana,22.9,1901,6
USA.2593229,Iowa,22.15,1901,6
USA.2593230,Kansas,24.81,1901,6
USA.2593231,Kentucky,23.97,1901,6
USA.2593232,Louisiana,27.02,1901,6
USA.2593233,Maine,16.48,1901,6
USA.2593234,Maryland,21.63,1901,6
USA.2593235,Massachusetts,18.84,1901,6
USA.2593236,Michigan,18.56,1901,6
USA.2593237,Minnesota,17.43,1901,6
USA.2593238,Mississippi,26.76,1901,6
USA.2593239,Missouri,25.37,1901,6
USA.2593240,Montana,12.69,1901,6
USA.2593241,Nebraska,20.75,1901,6
USA.2593242,Nevada,16.32,1901,6
USA.2593243,New Hampshire,17.51,1901,6
USA.2593244,New Jersey,20.74,1901,6
USA.2593245,New Mexico,20.46,1901,6
USA.2593246,New York,18.26,1901,6
USA.2593247,North Carolina,23.13,1901,6
USA.2593248,North Dakota,15.99,1901,6
USA.2593249,Ohio,21.55,1901,6
USA.2593250,Oklahoma,26.14,1901,6
USA.2593251,Oregon,11.66,1901,6
USA.2593252,Pennsylvania,19.8,1901,6
USA.2593253,Rhode Island,18.86,1901,6
USA.2593254,South Carolina,24.79,1901,6
USA.2593255,South Dakota,18.23,1901,6
USA.2593256,Tennessee,24.43,1901,6
USA.2593257,Texas,27.26,1901,6
USA.2593258,Utah,16.11,1901,6
USA.2593259,Vermont,17.24,1901,6
USA.2593260,Virginia,21.93,1901,6
USA.2593261,Washington,11.67,1901,6
USA.2593262,West Virginia,20.81,1901,6
USA.2593263,Wisconsin,19.09,1901,6
USA.2593264,Wyoming,13.04,1901,6
USA,United States of America,22.21,1901,7
USA.2593214,Alabama,27.98,1901,7
USA.2593215,Alaska,10.61,1901,7
USA.2593216,Arizona,26.9,1901,7
USA.2593217,Arkansas,28.87,1901,7
USA.2593218,California,23.25,1901,7
USA.2593219,Colorado,20.51,1901,7
USA.2593220,Connecticut,22.43,1901,7
USA.2593221,Delaware,26.0,1901,7
USA.2593222,District of Columbia,26.89,1901,7
USA.2593223,Florida,27.48,1901,7
USA.2593224,Georgia,27.81,1901,7
USA.2593225,Hawaii,20.62,1901,7
USA.2593226,Idaho,19.24,1901,7
USA.2593227,Illinois,27.58,1901,7
USA.2593228,Indiana,26.66,1901,7
USA.2593229,Iowa,27.59,1901,7
USA.2593230,Kansas,29.12,1901,7
USA.2593231,Kentucky,27.3,1901,7
USA.2593232,Louisiana,28.17,1901,7
USA.2593233,Maine,19.1,1901,7
USA.2593234,Maryland,26.03,1901,7
USA.2593235,Massachusetts,21.87,1901,7
USA.2593236,Michigan,22.21,1901,7
USA.2593237,Minnesota,22.43,1901,7
USA.2593238,Mississippi,28.36,1901,7
USA.2593239,Missouri,29.1,1901,7
USA.2593240,Montana,20.43,1901,7
USA.2593241,Nebraska,26.91,1901,7
USA.2593242,Nevada,22.92,1901,7
USA.2593243,New Hampshire,20.11,1901,7
USA.2593244,New Jersey,24.65,1901,7
USA.2593245,New Mexico,23.24,1901,7
USA.2593246,New York,21.73,1901,7
USA.2593247,North Carolina,25.95,1901,7
USA.2593248,North Dakota,21.49,1901,7
