code,state,value,year,month
USA.2593249,Ohio,25.39,1901,7
USA.2593250,Oklahoma,29.61,1901,7
USA.2593251,Oregon,16.17,1901,7
USA.2593252,Pennsylvania,23.81,1901,7
USA.2593253,Rhode Island,22.43,1901,7
USA.2593254,South Carolina,27.36,1901,7
USA.2593255,South Dakota,25.22,1901,7
USA.2593256,Tennessee,27.17,1901,7
USA.2593257,Texas,28.8,1901,7
USA.2593258,Utah,22.77,1901,7
USA.2593259,Vermont,20.08,1901,7
USA.2593260,Virginia,25.53,1901,7
USA.2593261,Washington,15.47,1901,7
USA.2593262,West Virginia,24.26,1901,7
USA.2593263,Wisconsin,23.41,1901,7
USA.2593264,Wyoming,20.79,1901,7
USA,United States of America,20.54,1901,8
USA.2593214,Alabama,26.02,1901,8
USA.2593215,Alaska,8.69,1901,8
USA.2593216,Arizona,25.63,1901,8
USA.2593217,Arkansas,26.81,1901,8
USA.2593218,California,22.89,1901,8
USA.2593219,Colorado,18.68,1901,8
USA.2593220,Connecticut,20.65,1901,8
USA.2593221,Delaware,24.43,1901,8
USA.2593222,District of Columbia,24.46,1901,8
USA.2593223,Florida,26.62,1901,8
USA.2593224,Georgia,26.02,1901,8
USA.2593225,Hawaii,21.01,1901,8
USA.2593226,Idaho,18.95,1901,8
USA.2593227,Illinois,23.89,1901,8
USA.2593228,Indiana,23.48,1901,8
USA.2593229,Iowa,22.98,1901,8
USA.2593230,Kansas,25.72,1901,8
USA.2593231,Kentucky,24.0,1901,8
USA.2593232,Louisiana,27.43,1901,8
USA.2593233,Maine,17.86,1901,8
USA.2593234,Maryland,23.99,1901,8
USA.2593235,Massachusetts,20.18,1901,8
USA.2593236,Michigan,19.4,1901,8
USA.2593237,Minnesota,19.84,1901,8
USA.2593238,Mississippi,26.65,1901,8
USA.2593239,Missouri,25.53,1901,8
USA.2593240,Montana,19.27,1901,8
USA.2593241,Nebraska,23.22,1901,8
USA.2593242,Nevada,21.49,1901,8
USA.2593243,New Hampshire,18.7,1901,8
USA.2593244,New Jersey,22.91,1901,8
USA.2593245,New Mexico,22.22,1901,8
USA.2593246,New York,19.46,1901,8
USA.2593247,North Carolina,24.55,1901,8
USA.2593248,North Dakota,19.14,1901,8
USA.2593249,Ohio,22.63,1901,8
USA.2593250,Oklahoma,27.49,1901,8
USA.2593251,Oregon,17.97,1901,8
USA.2593252,Pennsylvania,21.46,1901,8
USA.2593253,Rhode Island,20.89,1901,8
USA.2593254,South Carolina,25.86,1901,8
USA.2593255,South Dakota,22.04,1901,8
USA.2593256,Tennessee,24.11,1901,8
USA.2593257,Texas,28.63,1901,8
USA.2593258,Utah,21.2,1901,8
USA.2593259,Vermont,18.44,1901,8
USA.2593260,Virginia,23.3,1901,8
USA.2593261,Washington,18.11,1901,8
USA.2593262,West Virginia,21.88,1901,8
USA.2593263,Wisconsin,20.35,1901,8
USA.2593264,Wyoming,18.59,1901,8
USA,United States of America,15.3,1901,9
USA.2593214,Alabama,22.31,1901,9
USA.2593215,Alaska,4.64,1901,9
USA.2593216,Arizona,20.52,1901,9
USA.2593217,Arkansas,22.33,1901,9
USA.2593218,California,18.04,1901,9
USA.2593219,Colorado,13.25,1901,9
USA.2593220,Connecticut,16.82,1901,9
USA.2593221,Delaware,20.12,1901,9
USA.2593222,District of Columbia,19.9,1901,9
USA.2593223,Florida,25.82,1901,9
USA.2593224,Georgia,23.14,1901,9
USA.2593225,Hawaii,20.1,1901,9
USA.2593226,Idaho,10.21,1901,9
USA.2593227,Illinois,19.13,1901,9
USA.2593228,Indiana,18.89,1901,9
USA.2593229,Iowa,16.93,1901,9
USA.2593230,Kansas,20.17,1901,9
USA.2593231,Kentucky,19.95,1901,9
USA.2593232,Louisiana,24.07,1901,9
USA.2593233,Maine,13.65,1901,9
USA.2593234,Maryland,19.42,1901,9
USA.2593235,Massachusetts,16.45,1901,9
USA.2593236,Michigan,15.19,1901,9
USA.2593237,Minnesota,13.03,1901,9
USA.2593238,Mississippi,22.88,1901,9
USA.2593239,Missouri,20.16,1901,9
USA.2593240,Montana,9.79,1901,9
USA.2593241,Nebraska,16.21,1901,9
USA.2593242,Nevada,14.51,1901,9
USA.2593243,New Hampshire,14.42,1901,9
USA.2593244,New Jersey,18.95,1901,9
USA.2593245,New Mexico,18.21,1901,9
USA.2593246,New York,15.25,1901,9
USA.2593247,North Carolina,20.94,1901,9
USA.2593248,North Dakota,11.5,1901,9
USA.2593249,Ohio,18.21,1901,9
USA.2593250,Oklahoma,22.89,1901,9
USA.2593251,Oregon,10.98,1901,9
USA.2593252,Pennsylvania,16.85,1901,9
USA.2593253,Rhode Island,17.48,1901,9
USA.2593254,South Carolina,22.75,1901,9
USA.2593255,South Dakota,14.12,1901,9
USA.2593256,Tennessee,19.91,1901,9
USA.2593257,Texas,24.55,1901,9
USA.2593258,Utah,13.93,1901,9
USA.2593259,Vermont,13.91,1901,9
USA.2593260,Virginia,19.03,1901,9
USA.2593261,Washington,11.35,1901,9
USA.2593262,West Virginia,17.29,1901,9
USA.2593263,Wisconsin,14.56,1901,9
USA.2593264,Wyoming,10.97,1901,9
USA,United States of America,10.51,1901,10
USA.2593214,Alabama,17.09,1901,10
USA.2593215,Alaska,-3.57,1901,10
USA.2593216,Arizona,15.74,1901,10
USA.2593217,Arkansas,17.32,1901,10
USA.2593218,California,15.78,1901,10
USA.2593219,Colorado,8.49,1901,10
USA.2593220,Connecticut,10.34,1901,10
USA.2593221,Delaware,13.21,1901,10
USA.2593222,District of Columbia,13.47,1901,10
USA.2593223,Florida,22.02,1901,10
USA.2593224,Georgia,17.59,1901,10
USA.2593225,Hawaii,19.66,1901,10
USA.2593226,Idaho,8.95,1901,10
USA.2593227,Illinois,13.56,1901,10
USA.2593228,Indiana,12.83,1901,10
USA.2593229,Iowa,11.84,1901,10
USA.2593230,Kansas,14.95,1901,10
USA.2593231,Kentucky,14.33,1901,10
USA.2593232,Louisiana,19.2,1901,10
USA.2593233,Maine,6.89,1901,10
USA.2593234,Maryland,12.92,1901,10
USA.2593235,Massachusetts,9.96,1901,10
USA.2593236,Michigan,9.37,1901,10
USA.2593237,Minnesota,8.54,1901,10
USA.2593238,Mississippi,17.9,1901,10
USA.2593239,Missouri,15.23,1901,10
USA.2593240,Montana,9.17,1901,10
USA.2593241,Nebraska,11.59,1901,10
USA.2593242,Nevada,11.74,1901,10
USA.2593243,New Hampshire,7.99,1901,10
USA.2593244,New Jersey,11.83,1901,10
USA.2593245,New Mexico,12.84,1901,10
USA.2593246,New York,8.67,1901,10
USA.2593247,North Carolina,15.05,1901,10
USA.2593248,North Dakota,8.41,1901,10
USA.2593249,Ohio,12.03,1901,10
USA.2593250,Oklahoma,18.16,1901,10
USA.2593251,Oregon,10.6,1901,10
USA.2593252,Pennsylvania,10.44,1901,10
USA.2593253,Rhode Island,11.08,1901,10
USA.2593254,South Carolina,16.8,1901,10
USA.2593255,South Dakota,10.55,1901,10
USA.2593256,Tennessee,14.64,1901,10
USA.2593257,Texas,20.38,1901,10
USA.2593258,Utah,9.9,1901,10
USA.2593259,Vermont,7.52,1901,10
USA.2593260,Virginia,13.29,1901,10
USA.2593261,Washington,10.51,1901,10
USA.2593262,West Virginia,11.85,1901,10
USA.2593263,Wisconsin,9.68,1901,10
USA.2593264,Wyoming,7.59,1901,10
USA,United States of America,2.63,1901,11
USA.2593214,Alabama,9.34,1901,11
USA.2593215,Alaska,-13.3,1901,11
USA.2593216,Arizona,10.68,1901,11
USA.2593217,Arkansas,9.9,1901,11
USA.2593218,California,10.65,1901,11
USA.2593219,Colorado,2.57,1901,11
USA.2593220,Connecticut,0.95,1901,11
USA.2593221,Delaware,4.84,1901,11
USA.2593222,District of Columbia,5.07,1901,11
USA.2593223,Florida,15.06,1901,11
USA.2593224,Georgia,10.13,1901,11
USA.2593225,Hawaii,18.83,1901,11
USA.2593226,Idaho,2.47,1901,11
USA.2593227,Illinois,3.4,1901,11
USA.2593228,Indiana,3.38,1901,11
USA.2593229,Iowa,1.35,1901,11
USA.2593230,Kansas,6.52,1901,11
USA.2593231,Kentucky,5.13,1901,11
USA.2593232,Louisiana,12.92,1901,11
USA.2593233,Maine,-2.53,1901,11
USA.2593234,Maryland,4.37,1901,11
USA.2593235,Massachusetts,0.45,1901,11
USA.2593236,Michigan,0.33,1901,11
USA.2593237,Minnesota,-3.15,1901,11
USA.2593238,Mississippi,10.49,1901,11
USA.2593239,Missouri,6.09,1901,11
USA.2593240,Montana,1.57,1901,11
USA.2593241,Nebraska,3.55,1901,11
USA.2593242,Nevada,6.08,1901,11
USA.2593243,New Hampshire,-2.05,1901,11
USA.2593244,New Jersey,2.95,1901,11
USA.2593245,New Mexico,7.5,1901,11
USA.2593246,New York,-0.96,1901,11
USA.2593247,North Carolina,6.47,1901,11
USA.2593248,North Dakota,-2.97,1901,11
USA.2593249,Ohio,2.73,1901,11
USA.2593250,Oklahoma,10.23,1901,11
USA.2593251,Oregon,4.52,1901,11
USA.2593252,Pennsylvania,1.32,1901,11
USA.2593253,Rhode Island,1.65,1901,11
USA.2593254,South Carolina,8.93,1901,11
USA.2593255,South Dakota,0.92,1901,11
USA.2593256,Tennessee,6.25,1901,11
USA.2593257,Texas,14.13,1901,11
USA.2593258,Utah,3.92,1901,11
USA.2593259,Vermont,-2.59,1901,11
USA.2593260,Virginia,4.44,1901,11
USA.2593261,Washington,3.85,1901,11
USA.2593262,West Virginia,2.56,1901,11
USA.2593263,Wisconsin,-1.06,1901,11
USA.2593264,Wyoming,1.67,1901,11
USA,United States of America,-2.64,1901,12
USA.2593214,Alabama,5.71,1901,12
USA.2593215,Alaska,-16.31,1901,12
USA.2593216,Arizona,5.15,1901,12
USA.2593217,Arkansas,3.38,1901,12
USA.2593218,California,6.41,1901,12
USA.2593219,Colorado,-4.06,1901,12
USA.2593220,Connecticut,-2.05,1901,12
USA.2593221,Delaware,1.72,1901,12
USA.2593222,District of Columbia,1.3,1901,12
USA.2593223,Florida,13.23,1901,12
USA.2593224,Georgia,6.74,1901,12
USA.2593225,Hawaii,18.46,1901,12
USA.2593226,Idaho,-3.1,1901,12
USA.2593227,Illinois,-3.72,1901,12
USA.2593228,Indiana,-3.18,1901,12
USA.2593229,Iowa,-7.1,1901,12
USA.2593230,Kansas,-1.12,1901,12
USA.2593231,Kentucky,-0.17,1901,12
USA.2593232,Louisiana,8.55,1901,12
USA.2593233,Maine,-6.77,1901,12
USA.2593234,Maryland,0.79,1901,12
USA.2593235,Massachusetts,-2.6,1901,12
USA.2593236,Michigan,-6.31,1901,12
USA.2593237,Minnesota,-11.43,1901,12
USA.2593238,Mississippi,5.85,1901,12
USA.2593239,Missouri,-2.08,1901,12
USA.2593240,Montana,-4.55,1901,12
USA.2593241,Nebraska,-4.62,1901,12
USA.2593242,Nevada,0.77,1901,12
USA.2593243,New Hampshire,-5.3,1901,12
USA.2593244,New Jersey,-0.1,1901,12
USA.2593245,New Mexico,2.42,1901,12
USA.2593246,New York,-4.68,1901,12
USA.2593247,North Carolina,4.32,1901,12
USA.2593248,North Dakota,-10.95,1901,12
USA.2593249,Ohio,-2.63,1901,12
USA.2593250,Oklahoma,2.91,1901,12
USA.2593251,Oregon,0.63,1901,12
USA.2593252,Pennsylvania,-2.69,1901,12
USA.2593253,Rhode Island,-0.87,1901,12
USA.2593254,South Carolina,6.39,1901,12
USA.2593255,South Dakota,-7.21,1901,12
USA.2593256,Tennessee,1.34,1901,12
USA.2593257,Texas,8.1,1901,12
USA.2593258,Utah,-2.59,1901,12
USA.2593259,Vermont,-5.91,1901,12
USA.2593260,Virginia,1.37,1901,12
USA.2593261,Washington,-0.09,1901,12
USA.2593262,West Virginia,-0.85,1901,12
USA.2593263,Wisconsin,-8.91,1901,12
USA.2593264,Wyoming,-5.51,1901,12
USA,United States of America,-3.7,1902,1
USA.2593214,Alabama,6.58,1902,1
USA.2593215,Alaska,-18.51,1902,1
USA.2593216,Arizona,4.52,1902,1
USA.2593217,Arkansas,3.22,1902,1
USA.2593218,California,5.09,1902,1
USA.2593219,Colorado,-5.1,1902,1
USA.2593220,Connecticut,-5.06,1902,1
USA.2593221,Delaware,-0.34,1902,1
USA.2593222,District of Columbia,-0.1,1902,1
USA.2593223,Florida,12.93,1902,1
USA.2593224,Georgia,7.05,1902,1
USA.2593225,Hawaii,17.92,1902,1
USA.2593226,Idaho,-6.39,1902,1
USA.2593227,Illinois,-3.15,1902,1
USA.2593228,Indiana,-2.5,1902,1
USA.2593229,Iowa,-6.06,1902,1
USA.2593230,Kansas,-1.54,1902,1
USA.2593231,Kentucky,0.65,1902,1
USA.2593232,Louisiana,8.34,1902,1
USA.2593233,Maine,-10.59,1902,1
USA.2593234,Maryland,-0.87,1902,1
USA.2593235,Massachusetts,-5.7,1902,1
USA.2593236,Michigan,-6.74,1902,1
USA.2593237,Minnesota,-10.5,1902,1
