code,state,value,year,month
USA,United States of America,46.1,1901,1
USA.2593214,Alabama,116.85,1901,1
USA.2593215,Alaska,35.22,1901,1
USA.2593216,Arizona,24.17,1901,1
USA.2593217,Arkansas,60.62,1901,1
USA.2593218,California,132.55,1901,1
USA.2593219,Colorado,19.76,1901,1
USA.2593220,Connecticut,50.68,1901,1
USA.2593221,Delaware,70.72,1901,1
USA.2593222,District of Columbia,64.42,1901,1
USA.2593223,Florida,64.57,1901,1
USA.2593224,Georgia,111.61,1901,1
USA.2593225,Hawaii,116.54,1901,1
USA.2593226,Idaho,55.65,1901,1
USA.2593227,Illinois,39.34,1901,1
USA.2593228,Indiana,40.92,1901,1
USA.2593229,Iowa,19.18,1901,1
USA.2593230,Kansas,9.5,1901,1
USA.2593231,Kentucky,57.62,1901,1
USA.2593232,Louisiana,99.07,1901,1
USA.2593233,Maine,95.65,1901,1
USA.2593234,Maryland,69.23,1901,1
USA.2593235,Massachusetts,50.24,1901,1
USA.2593236,Michigan,46.2,1901,1
USA.2593237,Minnesota,9.37,1901,1
USA.2593238,Mississippi,131.25,1901,1
USA.2593239,Missouri,35.12,1901,1
USA.2593240,Montana,18.95,1901,1
USA.2593241,Nebraska,4.51,1901,1
USA.2593242,Nevada,34.16,1901,1
USA.2593243,New Hampshire,59.18,1901,1
USA.2593244,New Jersey,62.48,1901,1
USA.2593245,New Mexico,12.7,1901,1
USA.2593246,New York,59.14,1901,1
USA.2593247,North Carolina,75.29,1901,1
USA.2593248,North Dakota,6.81,1901,1
USA.2593249,Ohio,47.04,1901,1
USA.2593250,Oklahoma,14.49,1901,1
USA.2593251,Oregon,135.2,1901,1
USA.2593252,Pennsylvania,55.79,1901,1
USA.2593253,Rhode Island,57.62,1901,1
USA.2593254,South Carolina,87.32,1901,1
USA.2593255,South Dakota,3.27,1901,1
USA.2593256,Tennessee,103.5,1901,1
USA.2593257,Texas,12.97,1901,1
USA.2593258,Utah,19.31,1901,1
USA.2593259,Vermont,62.99,1901,1
USA.2593260,Virginia,73.93,1901,1
USA.2593261,Washington,152.1,1901,1
USA.2593262,West Virginia,69.42,1901,1
USA.2593263,Wisconsin,18.07,1901,1
USA.2593264,Wyoming,11.63,1901,1
USA,United States of America,47.45,1901,2
USA.2593214,Alabama,109.14,1901,2
USA.2593215,Alaska,29.76,1901,2
USA.2593216,Arizona,44.8,1901,2
USA.2593217,Arkansas,65.74,1901,2
USA.2593218,California,136.93,1901,2
USA.2593219,Colorado,21.83,1901,2
USA.2593220,Connecticut,24.1,1901,2
USA.2593221,Delaware,18.75,1901,2
USA.2593222,District of Columbia,15.14,1901,2
USA.2593223,Florida,90.72,1901,2
USA.2593224,Georgia,111.14,1901,2
USA.2593225,Hawaii,317.55,1901,2
USA.2593226,Idaho,67.46,1901,2
USA.2593227,Illinois,42.53,1901,2
USA.2593228,Indiana,42.76,1901,2
USA.2593229,Iowa,28.65,1901,2
